carat,color,clarity,depth,table,price
0.28,F,VVS2,62.6,55,787
0.71,F,SI1,62.1,59,2346
0.26,G,VS1,62.1,55,478
1,D,VS2,64.1,58,6389
1.2,I,VS1,59.6,61,5818
0.57,G,SI1,63.4,57,1369
0.75,E,SI2,62.1,57,2278
0.3,F,VS1,62.6,57,570
0.64,F,IF,58.6,61,2980
0.73,E,VS2,62,57,2854
0.35,J,VS1,62.6,53.7,483
0.52,I,VS1,61,58,1310
1.01,D,SI1,59.8,56,5394
0.32,F,VS2,62.4,56,828
1.01,G,VVS1,63.1,59,7279
0.59,I,VVS2,57.8,61,1427
2.04,E,SI2,62.7,60,15398
0.56,D,SI1,61.4,58,1723
0.39,F,VS2,58.8,59,821
0.61,E,VVS1,59.9,61,3212
0.51,I,SI1,62.5,57,1122
0.26,F,VVS1,63.3,57,564
0.31,G,VS1,63.3,57,583
0.7,G,SI1,63.7,60,2150
1.16,G,VVS1,62,57,9526
0.41,H,VVS1,61.4,60,1115
0.53,E,SI1,60,60,1607
1.11,H,SI2,59.8,60,4456
0.36,D,SI1,60.4,58,851
0.44,I,VVS1,61.5,58,990
0.73,G,I1,63.9,55,1210
1.08,F,VS2,63.1,57,6319
2.01,E,SI1,60.4,61,12898
0.7,H,VS2,64.5,57,2137
0.45,F,SI2,62.6,57,996
0.7,H,VVS1,58.3,60,2603
0.56,G,VVS1,62.3,55,2055
0.31,F,VS2,61.4,62,625
1.15,G,VVS1,62.7,56,10644
1.78,H,VS1,60.2,59,15601
1.51,H,SI1,61.5,58,8752
1.03,G,VS1,62.2,57,6539
0.63,J,SI1,59.9,64,1134
0.8,H,SI2,59.7,58,2263
1.07,F,SI2,58.2,58,4319
0.35,G,SI1,63.8,54,522
1.34,I,VS1,62.2,57,7016
1.14,H,SI1,62.1,59,4463
0.55,G,VVS1,61.2,56,2077
0.51,E,VS1,61.5,53,1708
1.15,D,SI1,61.7,58,5932
0.78,E,VS1,60.9,57,3420
1,F,SI2,61.6,61,4452
0.55,F,SI1,59.5,61,1410
0.7,F,SI1,60.4,58,2196
0.97,F,SI2,58.9,58,4020
1.09,I,VS2,61.8,57,5904
0.72,F,SI2,61.2,58,2300
0.8,F,VS1,63.8,55,3603
1.64,J,SI2,63,58,5624
0.3,D,VS2,62.5,57,670
0.82,F,SI2,60.3,57,2723
0.54,F,SI1,63,57,1255
1.61,G,VS1,61.9,55,14341
0.55,I,VVS1,61.3,59,1593
1.83,E,SI2,62.8,56,13134
0.6,F,VVS2,60.8,57,2856
1.05,E,SI2,62.2,59,3886
1.28,I,SI1,63.6,54,5920
0.41,G,VS1,62.7,57,961
0.9,F,SI1,63.2,61,3881
0.7,E,VS2,60.8,56,3504
0.42,I,SI1,61.2,60,803
0.33,G,VS2,62.6,58,579
1.05,E,I1,64.1,58,2066
0.35,H,SI2,61.6,58,566
0.9,G,SI1,63.8,57,3752
0.56,F,SI2,61.8,57,1103
1.01,D,VS2,61.8,59,6912
0.9,D,SI1,63.4,53,4187
0.35,G,VVS1,61.8,57,1103
0.52,D,VS2,62.6,55,1822
0.33,G,VS2,62.5,57,579
1,E,SI2,60.6,60,4576
1.76,D,SI1,61,60,12063
0.53,F,SI1,62.9,57,1363
0.3,E,SI1,62.4,58,675
1.07,G,SI2,62.1,55,4752
0.5,F,VS1,62.6,59,1738
0.7,H,VVS1,62,57,2541
0.39,D,VS2,61.4,60,1024
0.51,G,VVS2,63.7,54,1800
0.59,E,SI2,63.8,57,1286
0.59,E,SI1,60.7,56,1793
1.53,H,VS2,59.9,60,10827
0.9,I,VS1,61.6,56,3677
0.38,D,VS2,61.8,56,1013
0.35,G,VVS2,62.8,58,798
1.57,H,SI1,62.4,58,12392
0.41,E,VS1,62.8,58,827
0.61,E,VVS2,61.3,54,2823
2.07,I,SI1,62.9,59,16392
